,Date,User,Tweet
30,2023-06-15 23:40:25+00:00,seon__holic,"“Here, the single cut that contains the chic charm of the four actors also attracts attention”
🔗 https://t.co/isHKWaxIIv
#KimSeonHo #김선호 #TheChilde #귀공자 https://t.co/l1c4ryHEoG"
31,2023-06-15 23:40:22+00:00,ditto02,"Wow 😲
#귀공자 #คิมซอนโฮ #김선호 #キムソンホ #seonho__kim #キムソンホ #KIMSEONHO  #김선호 #강태주 #김강우 #고아라 https://t.co/J1gX57qnLx"
32,2023-06-15 23:40:12+00:00,aybigrace,😱🤧 if looks could… 😱😱😱😱😱 #KimSeonHo #김선호 #TheChilde https://t.co/u71tq7fmlL
33,2023-06-15 23:39:38+00:00,tiketinaja,"Kim Seon Ho Asia Tour in Jakarta
#Proof_TiketinAja https://t.co/bLk70tbnYk"
34,2023-06-15 23:38:55+00:00,mina_tano,"【美韓】キム・ソノ（キム・ソンホ）に投票完了！現在の得票数:519票
キム・ソノ（キム・ソンホ）「君の幸せをいつも願ってるよ」
人気投票はこちらから↓
 https://t.co/1Czjtg9CjS #キム・ソノ（キム・ソンホ） #KimSeonHo #김선호 #キム・ソノ（キム・ソンホ）からのメッセージ https://t.co/t1BgAcjAAN"
35,2023-06-15 23:38:31+00:00,fhananur,"OMG new kpop band🥹🤣😭😭😭😭

🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤

#KimSeonHo #KangTaeJu #KimKangWoo #GoAra #TheChilde #김선호 #강태주 #김강우 #고아라 #귀공자"
36,2023-06-15 23:37:13+00:00,aybigrace,"who the F r u series 😱😱😱
#KimSeonHo #김선호 #TheChilde https://t.co/XwFeEUYZRd"
37,2023-06-15 23:36:48+00:00,fsw6ye4,"Damnn they look so 🔥🔥🔥🔥
#KimSeonHo #김선호 #TheChilde"
38,2023-06-15 23:30:55+00:00,kdragontwt,"Nobleman was probably Han Ji-pyeong in his past life 🤣🤣🤣

#KimSeonHo #TheChilde https://t.co/rHvB0eET9m"
39,2023-06-15 23:31:28+00:00,linlin1981,"167. Jun 16, 2023 Friday
#kimseonho
#kimseonhodailycalendar https://t.co/Bn1cUyrp4g"
40,2023-06-15 23:35:25+00:00,seonhoquack,#KimSeonHo is so sexy 😍
41,2023-06-15 23:29:59+00:00,linlin1981,"166. Jun 15, 2023 Thursday
#kimseonho
#kimseonhodailycalendar https://t.co/NgBs3KiqO6"
42,2023-06-15 23:28:55+00:00,seonhocorndog,"HEOLLL SO HOT🧎‍♀️🧎‍♀️🧎‍♀️🧎‍♀️🧎‍♀️

#KimSeonHo #김선호 #TheChilde #귀공자 https://t.co/Hi4lnyr2CR"
43,2023-06-15 23:28:09+00:00,Shstann,"THE CHILDE CART SLAYED !!! 
FINALLY FOR CINE21
#KIMSEONHO #Goara #kimkangwoo #kangtaejoo https://t.co/oU98VGLEgS"
44,2023-06-15 23:26:22+00:00,happy_kimseonho,they look like a mixed kpop group 😂 hahaha! can't wait to watch #KimSeonHo in the #TheChilde!!!
45,2023-06-15 23:25:41+00:00,seonholistic,Yes sirrr🖤🖤🖤🖤 #KimSeonHo #김선호 https://t.co/JWLbHuZYOy
46,2023-06-15 23:25:33+00:00,nadiaiya,The childe squad gilakkkkk #thechilde #KimSeonHo https://t.co/hpWmGfeXwo
47,2023-06-15 23:25:01+00:00,seonholatahzan,"Hot banget eaaa pagi-pagi 

#TheChilde #KimSeonho #GoAra https://t.co/QIXiORuHRX"
48,2023-06-15 23:24:45+00:00,naonao0508nao,"🗓2023 June 16 Friday

ソノが遊んでるのか
🏐に遊ばれてるのか🤣🤣

#キムソンホ
#キムソノ
#KimSeonHo
#김선호
#ただただキムソノを応援する https://t.co/ite57d1KnB"
49,2023-06-15 23:24:14+00:00,PreferSunshine,#TheChilde #KimSeonHo 🥰🥰🥰
50,2023-06-15 23:23:57+00:00,seonbyyeolmoon,"DAMN! BOYYY🥵🥵🥵🔥🔥🔥
#KimSeonHo https://t.co/8lGyMBSnNa"
51,2023-06-15 23:22:45+00:00,kdragontwt,"OMG! #TheChilde cast pictorial with Cine21!!!

#KimSeonHo #KangTaeJu #KimKangWoo #GoAra"
52,2023-06-15 23:22:00+00:00,seonbyyeolmoon,"WOOW CRAZY VISUAL😭🔥🔥🥵🥵🥵
#TheChilde #귀공자
#김선호 #강태주 #김강우 #고아라 
#박훈정감독 #6월극장대개봉 #KimSeonHo https://t.co/NsCs5jbCU8"
53,2023-06-15 23:14:30+00:00,lisna_dwi,"Memang tiap peran bukan yang dulu lagi kamu tuh. You always have different interpretation on each character. 🤭 

Film debut #KimSeonHo bakal tayang mulai 21 Juni 2023 di CGV/Cinepolis seluruh Indonesia. Nonton hari pertama dan jangan spoiler yaaaa! 😎 https://t.co/T16ZKegvsh"
54,2023-06-15 23:13:21+00:00,kdragontwt,"[#TheScion #KimSeonHo, like a shaken Coke popping open]

The most creative review so far, likening watching it to the tension &amp; expectation of opening &amp; drinking a shaken Coke. 😄

* who would've thought Coke would be associated with an action noir 🎞 😄

https://t.co/FdnMTk3SiY https://t.co/UPY5fzRf75"
55,2023-06-15 23:10:50+00:00,kimseonho_ina,"Kim Seon Ho 🤝 Lee Sang Yi bromance 💙☺️😆💙 

https://t.co/P1zxVvSzkl

#김선호 #Kimseonho #kimseonho_ina #2023
#KimSeonHoNewMovie 
#귀공자_티저_예고편_공개
#KimSeonHo ◡̈ #김선호
#TheChilde #귀공자 https://t.co/4VDwl8u2de"
56,2023-06-15 23:06:26+00:00,kimseonho_ina,"Seonhohada..
Yuk kita patuhi aturannya supaya film debut oppa Kim Seon Ho sukses 💙😉😊💙

#김선호 #Kimseonho #kimseonho_ina #2023
#KimSeonHoNewMovie 
#귀공자_티저_예고편_공개
#KimSeonHo ◡̈ #김선호
#TheChilde #귀공자 https://t.co/UVi2WOiQD8"
57,2023-06-15 23:05:48+00:00,dadsgirl885,"Gonna do some comic reading
 
#KimSeonHo #Fantasy #VRChat

https://t.co/DaO5cHeIri https://t.co/i6aucPSVco"
58,2023-06-15 23:00:10+00:00,naonao0508nao,"『紫陽花のおまじない』

ソノも私も大好き紫陽花💙
今年初めておまじないしてみた💓

今年も♡の紫陽花見つけたいな💙

#紫陽花
#キムソンホ
#キムソノ
#KimSeonHo
#김선호
#ただただキムソノを応援する https://t.co/crQSU0oc1t"
59,2023-06-15 22:59:11+00:00,kiracha58,"おはようございます♡
やっと晴れたぁ☀️。。
テンション⤴︎⤴︎てラス1頑張ります！！

#キムソノ #キムソンホ 
#KimSeonHo #김선호

癒される～^^ https://t.co/wKwengeEQC"
