,Date,User,Tweet
21,2023-06-23 00:52:15+00:00,kdragontwt,"""Two Korean films and two foreign films are expected to compete fiercely in theaters this weekend to attract audiences.""

Good luck #TheChilde!!!

https://t.co/J9sArZ7Tp9"
22,2023-06-23 00:42:36+00:00,jjwisun,review #thechilde from my friend😆 we had so much fun last night🤣 https://t.co/AI9Ce9Ft4b
23,2023-06-23 00:39:04+00:00,eqqin,Tengah menunggu masa nak book #TheChilde
24,2023-06-23 00:28:10+00:00,aloha_ksh,#KimSeonHo #김선호 #TheChilde #귀공자
25,2023-06-23 00:28:00+00:00,aloha_ksh,#KimSeonHo #김선호 #TheChilde #귀공자
26,2023-06-23 00:24:08+00:00,seonhobbies,"Warga Jakarta, XXI nambah layar nih untuk nonton #TheChilde yukkk serbuu hari ini!!🫶🏻 https://t.co/aWdc36XY39"
27,2023-06-23 00:02:33+00:00,yaamacy,"How about UK?!?!?! 🤷🏻‍♀️
@CineAsiaUK @ODEONCinemas @Trinity_Film @ODEONHelp @KCCUK @KoreanTravel 

#김선호 #KimSeonHo #金宣虎 #귀공자 #TheChilde #貴公子 
.
.
.
.
.
.
.
.
.
.
.
.
Well.. &amp; why the ppl here in the UK always react that slowly for everything?? 🙄🤷🏻‍♀️"
28,2023-06-23 00:01:06+00:00,seonhocorndog,"Seonho : “Fans are the ones who let me stand right mentally and acting” 🥹

#KimSeonHo #김선호 #TheChilde #귀공자 https://t.co/mgqlpGVaiI"
29,2023-06-22 23:43:51+00:00,dramabud,"#TheChilde tiktok views update🤩

#김선호 #귀공자 #KimSeonho https://t.co/nqXlHBE6vc"
30,2023-06-22 23:39:52+00:00,kdragontwt,"[Interview] Kim Seon-ho “My first movie… I’m nervous, it’s fun, it’s amazing” (#TheChilde Movie)

""Actor #KimSeonHo is BACK!""

https://t.co/RsspViHDrD https://t.co/vedGslelGZ"
31,2023-06-22 23:34:47+00:00,omkaz12,"귀공자 무대인사 양도

- 6/29 왕십리CGV
18:40 A열 중블 2연석 - 9.0
16:10 A열 사블 통로 2연석  - 7.0

- 6/29 청량리 롯시
14:50 A열 사블 통로 2연석 - 7.0

- 7/1 광교 CGV
13:50 A열 사블 통로 2연석 - 7.0

#귀공자 #귀공자무대인사 #김선호 
#KimSeonHo #TheChilde #StageGreeting #貴公子 https://t.co/HadY43UQjg"
32,2023-06-22 23:30:54+00:00,kdragontwt,"""The development is fast and fresh, and the interesting characters are alive and lively, so it is evaluated that director Park Hoon-jung's unique visual beauty was vividly drawn.""

#TheChilde

https://t.co/dE2eKouPXj https://t.co/LFmhPiG3kb"
33,2023-06-22 23:30:44+00:00,dramabud,"(141) #TheChilde

#김선호 #귀공자 #KimSeonho https://t.co/f36Nf8KIhT"
34,2023-06-22 23:29:09+00:00,dramabud,"(140) #TheChilde

#김선호 #귀공자 #KimSeonho https://t.co/3kPzOPhCec"
35,2023-06-22 23:27:04+00:00,amazingrace729,"Mr. Pogi vibes 💙 by #manilassweetheart
#KimSeonHo 
#thechilde https://t.co/VVHhhhoIm3"
36,2023-06-22 23:25:11+00:00,omkaz12,"The childe stage greeting wanna buy? DM me
6/29 Wansimni CGV
&gt;18:40 Center A2seat - 9.0
&gt;16:10 A2Seat aisle - 7.0
6/29 cheongnyangni 
&gt;14:50 A2Seat aisle - 7.0
7/1 Gwanggyo CGV
&gt;13:50 A2Seat aisle - 7.0
#귀공자 #귀공자무대인사 #김선호 
#KimSeonHo #TheChilde #StageGreeting #Seoul https://t.co/tVdtbyIlsr"
